Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
0,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
0,"[20.23660928281178, 49.415448583919044, 65.7075209046105]","[23.60926706157864, 189.00625813237, 10.259858474979167]",47590.0,-7250.0
0,"[20.23660928281178, 49.415448583919044, 65.7075209046105]","[23.60926706157864, 189.00625813237, 10.259858474979167]",47590.0,-7250.0
0,"[63.66605030600448, 34.79591340659243, 66.51238331297719]","[343.61014821388244, 1.041238750642881, 357.95132751421966]",48140.0,-3930.0
0,"[63.66605030600448, 34.79591340659243, 66.51238331297719]","[343.61014821388244, 1.041238750642881, 357.95132751421966]",48140.0,-3930.0
0,"[79.78359921081822, 30.825152531118697, 52.751820033496976]","[179.36732393276654, 352.6285583344376, 173.9580918155224]",49070.0,-4330.0
0,"[79.78359921081822, 32.62324816013049, 52.751820033496976]","[179.36732393276654, 352.445329265779, 173.9580918155224]",49160.0,-4240.0
0,"[79.78359921081822, 33.02888659144731, 52.751820033496976]","[179.36732393276654, 352.1172255980843, 173.9580918155224]",49200.0,-4200.0
0,"[71.06512850439063, 79.09074648665462, 87.08979135261824]","[146.1467241399873, 139.69911756962105, 166.4945679187905]",51760.0,-2840.0
1,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
1,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
1,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
1,"[26.935924635925147, 72.45881775798415, 26.45915130611187]","[275.54153134108196, 127.05525852732346, 317.1456660465349]",47520.0,-6290.0
1,"[20.23660928281178, 49.415448583919044, 65.7075209046105]","[23.60926706157864, 189.00625813237, 10.259858474979167]",47590.0,-7250.0
1,"[20.23660928281178, 49.415448583919044, 65.7075209046105]","[23.60926706157864, 189.00625813237, 10.259858474979167]",47590.0,-7250.0
1,"[20.23660928281178, 49.415448583919044, 65.7075209046105]","[23.60926706157864, 189.00625813237, 10.259858474979167]",47590.0,-7250.0
1,"[20.23660928281178, 49.415448583919044, 64.43794708043744]","[23.60926706157864, 189.00625813237, 11.889658560670352]",47710.0,-7130.0
1,"[63.66605030600448, 34.79591340659243, 66.51238331297719]","[343.61014821388244, 1.041238750642881, 357.95132751421966]",48140.0,-3930.0
1,"[63.66605030600448, 34.79591340659243, 66.51238331297719]","[343.61014821388244, 1.041238750642881, 357.95132751421966]",48140.0,-3930.0
2,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
2,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
2,"[31.286910232974286, 70.91612326800927, 27.106688143415752]","[272.04076312214994, 127.9299859372331, 317.9280511000374]",45430.0,-5690.0
2,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
2,"[20.23660928281178, 50.28362235976808, 64.43794708043744]","[23.60926706157864, 189.12750808830415, 11.889658560670352]",46370.0,-7100.0
2,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
2,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
2,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
2,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
2,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
3,"[63.16753546390441, 34.79591340659243, 66.51238331297719]","[344.49304418896156, 1.041238750642881, 357.95132751421966]",42370.0,-3980.0
3,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
3,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
3,"[31.286910232974286, 70.91612326800927, 27.106688143415752]","[272.04076312214994, 127.9299859372331, 317.9280511000374]",45430.0,-5690.0
3,"[31.286910232974286, 70.91612326800927, 28.47475784622337]","[272.04076312214994, 127.9299859372331, 318.6592474664226]",45640.0,-5480.0
3,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
3,"[20.23660928281178, 50.28362235976808, 64.43794708043744]","[23.60926706157864, 189.12750808830415, 11.889658560670352]",46370.0,-7100.0
3,"[28.69614298861638, 70.91612326800927, 27.12032046105611]","[274.37632844261856, 127.9299859372331, 318.1493582673224]",46380.0,-5960.0
3,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
3,"[28.69614298861638, 70.91612326800927, 27.106688143415752]","[274.37632844261856, 127.9299859372331, 317.9280511000374]",46390.0,-5950.0
4,"[63.16753546390441, 34.79591340659243, 66.51238331297719]","[344.49304418896156, 1.041238750642881, 357.95132751421966]",42370.0,-3980.0
4,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
4,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
4,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
4,"[27.894708027092992, 70.91612326800927, 26.432127898048616]","[273.7524294549801, 127.9299859372331, 317.7480725089799]",43540.0,-6100.0
4,"[29.42455866760172, 70.91612326800927, 26.560645633822148]","[273.6086470536834, 127.9299859372331, 316.46058910337285]",43610.0,-6050.0
4,"[27.894708027092992, 70.91612326800927, 27.47704472579104]","[273.7524294549801, 127.9299859372331, 316.56767512266464]",43730.0,-5910.0
4,"[28.69614298861638, 70.30343883709016, 25.875942486033605]","[274.37632844261856, 126.43929335005754, 316.67091810581513]",46200.0,-6120.0
4,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
4,"[28.69614298861638, 70.91612326800927, 27.09597961499778]","[274.37632844261856, 127.9299859372331, 318.2536631025297]",46360.0,-5980.0
5,"[63.16753546390441, 34.79591340659243, 66.51238331297719]","[344.49304418896156, 1.041238750642881, 357.95132751421966]",42370.0,-3980.0
5,"[63.16753546390441, 34.79591340659243, 66.51238331297719]","[344.49304418896156, 1.041238750642881, 357.95132751421966]",42370.0,-3980.0
5,"[63.16753546390441, 34.79591340659243, 66.51238331297719]","[344.49304418896156, 1.041238750642881, 357.95132751421966]",42370.0,-3980.0
5,"[25.792905605838, 73.03761491452295, 26.45915130611187]","[275.2374587045554, 128.1715230659825, 317.1456660465349]",43120.0,-6450.0
