Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
0,"[60.88577236170479, 26.36781669359408, 54.64525783126904]","[318.7387308972087, 328.0068341597926, 311.34750451450026]",45590.0,-1970.0
0,"[59.78090704017069, 25.698623314776345, 48.232129625117224]","[74.54886904355641, 253.1412768291822, 229.44776399558882]",47680.0,-2020.0
0,"[59.61085686698894, 25.698623314776345, 50.04498252220364]","[74.2224992449236, 253.1412768291822, 229.2035132407913]",47760.0,-1940.0
0,"[68.48364669307642, 64.57990207352366, 87.29154697145985]","[224.59925178070623, 249.14889424171744, 261.98561802616837]",50980.0,-1100.0
0,"[39.608773759851545, 89.33677236841666, 89.0172098160028]","[353.8138008912183, 354.76777445961176, 317.1377828046615]",52170.0,-1410.0
0,"[36.716134700496056, 34.36330144156487, 69.54349143471907]","[109.61161197628314, 306.8672753376013, 284.60394157844803]",54740.0,-1800.0
0,"[27.985098760721797, 73.47929425322302, 64.80046389052148]","[320.02825183889325, 87.4925133529525, 232.26987929646882]",55880.0,-1850.0
0,"[27.985098760721797, 73.47929425322302, 64.80046389052148]","[320.02825183889325, 87.4925133529525, 232.26987929646882]",55880.0,-1850.0
0,"[35.148275847993304, 57.09853372114807, 25.71722829082643]","[112.30790205252997, 296.1263225790745, 346.51190176546186]",56110.0,-2380.0
1,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
1,"[60.88577236170479, 26.36781669359408, 54.64525783126904]","[318.7387308972087, 328.0068341597926, 311.34750451450026]",45590.0,-1970.0
1,"[59.78090704017069, 25.698623314776345, 48.232129625117224]","[74.54886904355641, 253.1412768291822, 229.44776399558882]",47680.0,-2020.0
1,"[59.61085686698894, 25.698623314776345, 50.04498252220364]","[74.2224992449236, 253.1412768291822, 229.2035132407913]",47760.0,-1940.0
1,"[68.48364669307642, 64.57990207352366, 87.29154697145985]","[224.59925178070623, 249.14889424171744, 261.98561802616837]",50980.0,-1100.0
1,"[68.48364669307642, 64.57990207352366, 87.29154697145985]","[224.59925178070623, 249.14889424171744, 261.98561802616837]",50980.0,-1100.0
1,"[39.608773759851545, 89.33677236841666, 89.0172098160028]","[353.8138008912183, 354.76777445961176, 317.1377828046615]",52170.0,-1410.0
1,"[39.608773759851545, 89.33677236841666, 89.0172098160028]","[353.8138008912183, 354.76777445961176, 317.1377828046615]",52170.0,-1410.0
1,"[39.608773759851545, 89.33677236841666, 89.0172098160028]","[353.8138008912183, 354.76777445961176, 317.1377828046615]",52170.0,-1410.0
1,"[39.608773759851545, 89.33677236841666, 89.0172098160028]","[353.8138008912183, 354.76777445961176, 317.1377828046615]",52170.0,-1410.0
2,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
2,"[60.88577236170479, 24.932288377506836, 53.278004946083946]","[318.7387308972087, 327.5065059963164, 311.4752500309002]",39780.0,-2080.0
2,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
2,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
2,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
2,"[60.88577236170479, 26.36781669359408, 54.64525783126904]","[318.7387308972087, 328.0068341597926, 311.34750451450026]",45590.0,-1970.0
2,"[59.78090704017069, 25.698623314776345, 48.232129625117224]","[74.54886904355641, 253.1412768291822, 229.44776399558882]",47680.0,-2020.0
2,"[59.61085686698894, 26.09476807731816, 50.04498252220364]","[74.2224992449236, 253.10160938825447, 229.2035132407913]",47690.0,-2010.0
2,"[34.766424107606646, 57.09853372114807, 25.71722829082643]","[110.10554542218284, 296.1263225790745, 346.51190176546186]",56050.0,-2440.0
2,"[35.846327168995515, 57.09853372114807, 25.71722829082643]","[110.95502476107032, 296.1263225790745, 346.51190176546186]",56070.0,-2400.0
3,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
3,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
3,"[60.59837408766128, 24.932288377506836, 53.16312532843874]","[317.65271928708466, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
3,"[60.88577236170479, 24.932288377506836, 53.278004946083946]","[318.7387308972087, 327.5065059963164, 311.4752500309002]",39780.0,-2080.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
3,"[60.88577236170479, 26.36781669359408, 53.278004946083946]","[318.7387308972087, 328.0068341597926, 311.4752500309002]",39870.0,-1990.0
4,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
4,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
4,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
4,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
4,"[59.544286236358644, 25.54089454920928, 53.278004946083946]","[318.49407291262895, 328.437002807161, 311.4752500309002]",38380.0,-2020.0
4,"[59.46312501157792, 27.769421868984026, 53.278004946083946]","[318.1284116571102, 328.0776291118886, 311.4752500309002]",38480.0,-1920.0
4,"[59.660055911159084, 24.932288377506836, 53.16312532843874]","[316.8936868410594, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
4,"[60.59837408766128, 24.932288377506836, 53.16312532843874]","[317.65271928708466, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
4,"[60.88577236170479, 24.932288377506836, 52.323125858945666]","[318.7387308972087, 327.5065059963164, 313.1642699252261]",39770.0,-2090.0
4,"[60.88577236170479, 24.932288377506836, 53.278004946083946]","[318.7387308972087, 327.5065059963164, 311.4752500309002]",39780.0,-2080.0
5,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
5,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
5,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
5,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
5,"[60.25668579079387, 25.05655788710845, 53.278004946083946]","[317.51585373904396, 328.92895824009094, 311.4752500309002]",38340.0,-2070.0
5,"[59.544286236358644, 25.54089454920928, 53.278004946083946]","[318.49407291262895, 328.437002807161, 311.4752500309002]",38380.0,-2020.0
5,"[59.544286236358644, 25.54089454920928, 53.278004946083946]","[318.49407291262895, 328.437002807161, 311.4752500309002]",38380.0,-2020.0
5,"[59.544286236358644, 25.54089454920928, 53.278004946083946]","[318.49407291262895, 328.437002807161, 311.4752500309002]",38380.0,-2020.0
5,"[59.660055911159084, 24.932288377506836, 53.16312532843874]","[316.8936868410594, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
5,"[60.59837408766128, 24.932288377506836, 53.16312532843874]","[317.65271928708466, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
6,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
6,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
6,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
6,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
6,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
6,"[60.25668579079387, 25.05655788710845, 53.278004946083946]","[317.51585373904396, 328.92895824009094, 311.4752500309002]",38340.0,-2070.0
6,"[59.660055911159084, 24.932288377506836, 53.16312532843874]","[316.8936868410594, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
6,"[60.59837408766128, 24.932288377506836, 53.16312532843874]","[317.65271928708466, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
6,"[60.59837408766128, 24.932288377506836, 54.27575028946911]","[317.65271928708466, 327.5065059963164, 310.09130241137564]",39740.0,-2110.0
6,"[59.99193302762931, 25.140472902031284, 53.278004946083946]","[317.1600805836647, 327.8147422435535, 311.4752500309002]",44120.0,-2130.0
7,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
7,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
