Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[83.48432420626315, 22.262992912833013, 29.309486024750992]","[211.7309222707601, 51.671294044955886, 27.32564964620095]",39810.0,-7520.0
0,"[83.48432420626315, 22.262992912833013, 29.309486024750992]","[211.7309222707601, 51.671294044955886, 27.32564964620095]",39810.0,-7520.0
0,"[83.48432420626315, 22.262992912833013, 29.571922286800092]","[211.7309222707601, 51.671294044955886, 28.93439040608135]",39860.0,-7470.0
0,"[24.33469646877548, 34.55406575768911, 20.51321400629826]","[346.0190501873776, 281.0728301656831, 286.5188269046312]",44870.0,-9750.0
0,"[24.476334457442007, 35.93360627130809, 20.51321400629826]","[344.96372644747794, 280.3634931583569, 286.5188269046312]",44930.0,-9670.0
0,"[24.476334457442007, 35.385419291749514, 20.51321400629826]","[344.96372644747794, 280.1133229421938, 286.5188269046312]",46510.0,-9670.0
0,"[32.983876919877325, 64.85782271464532, 24.209871303762498]","[346.38905914821396, 343.06449835629815, 47.164416509980335]",47250.0,-6180.0
0,"[32.137035538292814, 64.44698162380435, 75.12179022637291]","[320.90338873471177, 345.0875442450508, 131.44907608936361]",48670.0,-4050.0
0,"[82.61417665353103, 21.501210450551973, 61.81346189527714]","[251.23698373962392, 341.99778454616813, 70.86291267342612]",57590.0,-6580.0
0,"[78.84664129753247, 45.872869181186786, 85.29281350778733]","[317.9172700641477, 248.63016647284047, 141.8597166958704]",58050.0,-3300.0
