Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[173.9885862631488, 173.63723414889841, 167.3557872582742]","[70.37398783572226, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
0,"[172.8358668080129, 173.63723414889841, 167.3557872582742]","[68.10305079292598, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
0,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
0,"[160.11141830441903, 154.7011684847108, 142.30612175255797]","[163.13297393079077, 127.69284320528959, 98.24923582092747]",42620.0,-3750.0
0,"[127.00355982170517, 170.15389315677055, 172.93668841835213]","[221.9771578176873, 177.55266236698657, 148.20198604349005]",43960.0,-470.0
0,"[125.59820805762844, 149.10594755105188, 117.02121241261939]","[131.74097304113928, 127.78104976049275, 105.00420812097603]",45510.0,-1810.0
0,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
0,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
0,"[160.11141830441903, 154.7011684847108, 140.5783222180564]","[163.13297393079077, 127.69284320528959, 99.06159434657769]",48380.0,-3750.0
0,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
0,"[128.03274725714215, 152.19058671132092, 168.3571255510889]","[213.7730870865245, 174.02403655612966, 109.76405071666149]",51190.0,-1560.0
0,"[125.59820805762844, 149.10594755105188, 117.71635608160403]","[131.74097304113928, 127.78104976049275, 105.00720787570457]",51250.0,-1810.0
0,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
0,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
0,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
0,"[160.83667777612015, 113.05170727667863, 129.61436644563392]","[27.31557927324942, 270.4625875077349, 260.39205501625594]",51530.0,-3110.0
0,"[116.76259194149576, 171.7576118038744, 119.30274172780037]","[128.5175133110995, 215.6583393736845, 279.4950371528476]",51670.0,-890.0
0,"[117.09700792056098, 171.7576118038744, 119.30274172780037]","[130.0073893106443, 215.6583393736845, 279.4950371528476]",51690.0,-890.0
0,"[136.2900253602725, 134.50155060727167, 152.4882880726607]","[354.95285032257254, 10.656226298561355, 217.97614493672242]",55480.0,-2150.0
0,"[136.2900253602725, 134.50155060727167, 151.6149493158262]","[354.95285032257254, 10.656226298561355, 219.7303949119605]",55530.0,-2100.0
0,"[167.02713421056873, 133.5417923791, 112.74430689936261]","[64.15062586995734, 193.96749282820605, 192.22936673873085]",56630.0,-1980.0
0,"[167.02713421056873, 133.5417923791, 112.74430689936261]","[64.15062586995734, 193.96749282820605, 192.22936673873085]",56630.0,-1980.0
0,"[121.12032143181786, 114.06260408821949, 168.412220079859]","[187.89442623499022, 331.49462049036424, 285.7122118574123]",57550.0,-870.0
0,"[121.12032143181786, 114.06260408821949, 168.412220079859]","[187.89442623499022, 331.49462049036424, 285.7122118574123]",57550.0,-870.0
0,"[141.86775143782938, 160.22593726888255, 146.23259899360397]","[125.29309437172671, 247.11890657655027, 154.6990701551374]",57640.0,-3250.0
0,"[141.86775143782938, 160.22593726888255, 145.97687501033477]","[125.29309437172671, 247.11890657655027, 155.0853764809119]",57650.0,-3240.0
0,"[129.29387661074918, 143.613304579513, 136.34670540558517]","[119.57557530097776, 308.9433472856583, 159.74196960998015]",58800.0,-1690.0
0,"[129.29387661074918, 143.613304579513, 136.34670540558517]","[119.57557530097776, 308.9433472856583, 159.74196960998015]",58800.0,-1690.0
0,"[167.61112329770106, 133.5417923791, 112.74430689936261]","[63.95269675545366, 193.96749282820605, 192.22936673873085]",59570.0,-1780.0
0,"[131.2363212852828, 150.781945776324, 120.79811562699715]","[297.1247604117045, 166.11624033128913, 179.40836939199218]",60740.0,-1900.0
0,"[131.2363212852828, 150.781945776324, 119.24927496375099]","[297.1247604117045, 166.11624033128913, 179.03051676966876]",60780.0,-1860.0
0,"[131.2363212852828, 150.781945776324, 119.24927496375099]","[297.1247604117045, 166.11624033128913, 179.03051676966876]",60780.0,-1860.0
