Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[163.67041138821935, 155.43857694316887, 178.70870286524143]","[65.1117844042905, 56.73164939344189, 228.26556631139704]",32630.0,-3470.0
0,"[178.4146091307913, 172.75237669922217, 148.9647691645285]","[82.165815080812, 139.69791894953667, 100.17184358675722]",33560.0,-880.0
0,"[161.42788100559946, 147.5260256207253, 179.4818203921336]","[58.30006437230769, 73.6502784318441, 277.8021122361333]",34790.0,-2920.0
0,"[134.4188764855296, 179.48284705374368, 168.85995029206285]","[33.96597248882112, 174.690211094782, 16.926277286550814]",36710.0,-550.0
0,"[147.1078697412089, 170.52953834628238, 133.93245683924505]","[187.43635840908814, 346.9150310862063, 170.98393039751903]",38930.0,-1310.0
0,"[169.9212450681954, 160.13920115997374, 164.22329477833105]","[70.23293972655983, 106.67409869069039, 188.98697791144528]",40420.0,-3720.0
0,"[166.6349520164424, 157.7783896811157, 139.49296230913504]","[166.0215791594106, 168.77803806174424, 201.84960303570455]",41700.0,-3140.0
0,"[129.054371522927, 137.50911243421865, 177.38843727644394]","[101.35654870028502, 108.60871019666396, 98.80822438611511]",43480.0,-1070.0
0,"[178.63296582530776, 127.61154366618577, 151.99562980090232]","[282.8941956422681, 170.01159478492525, 136.8885867052849]",44820.0,-1440.0
0,"[127.00292444297776, 171.7413541690552, 145.7393215783265]","[154.17736934886574, 210.8909472398259, 113.28394797596906]",44900.0,-1170.0
0,"[158.41249230901366, 179.78255611388826, 131.58148592748802]","[112.38695878384569, 336.3262460413839, 55.55362846138692]",45850.0,-1780.0
0,"[137.987025382178, 138.90349464884835, 145.59701680470204]","[187.96091585478894, 160.91333227182565, 182.00202437858502]",46930.0,-1970.0
0,"[130.48981719698935, 161.02101614686205, 125.86672471353384]","[83.38205049893604, 41.218897179461926, 39.06962104259135]",47450.0,-2810.0
0,"[121.67357209594194, 172.70239864528708, 139.7603393036348]","[305.4794833923544, 263.7430801997681, 100.06193685977036]",48100.0,-1020.0
0,"[141.0437039788922, 133.28550200794075, 153.39953978815998]","[182.64158215167564, 200.75601304861186, 129.78435113096066]",48520.0,-2060.0
0,"[148.76593533685843, 149.96774154037118, 159.97482643185032]","[202.74006792046657, 156.12171164573593, 222.9563326124903]",48660.0,-3480.0
0,"[153.6821923537509, 133.23882978638756, 135.84692760447768]","[155.01536923913875, 123.73011040088055, 183.1685548489676]",49740.0,-2100.0
0,"[165.97055856063864, 144.7094942174893, 121.3702468418719]","[166.26073913527586, 168.32568262748956, 12.68279626044217]",49990.0,-2740.0
0,"[140.08555235139852, 123.42559455205357, 155.69362955011997]","[186.22341080450684, 223.48183433777268, 214.38633694690003]",50950.0,-2230.0
0,"[125.37565753071638, 138.9695118018353, 161.65185390711036]","[93.64286745802087, 264.8094503078365, 121.86822637047294]",51670.0,-3010.0
0,"[162.72391490174243, 155.05166496245704, 129.40192388561863]","[178.82780950720456, 242.89362560437493, 177.62351305187536]",52370.0,-3920.0
0,"[135.4650759402938, 173.8303179984606, 148.9310166954073]","[301.07660261641024, 194.49470007632982, 92.83819154196783]",53220.0,-1420.0
0,"[119.5193316311382, 137.37402890833937, 155.66101130721938]","[316.8575451686165, 144.21906719838987, 83.27170253838655]",53740.0,-2160.0
0,"[129.4327489512443, 140.20410027387294, 141.01580868978533]","[298.4654905546253, 145.470551468499, 120.00118535255532]",54470.0,-1870.0
0,"[150.82529449752872, 165.88154304049834, 160.4542574441506]","[238.91806002299, 263.95679217511326, 123.51893409898418]",57080.0,-4000.0
0,"[118.95071969101045, 137.64948960889464, 161.9515995244592]","[216.2771907471007, 129.20358071557405, 212.44471380653735]",57300.0,-3180.0
0,"[150.3143506805613, 157.23133615371452, 145.1405033681919]","[293.59712078333666, 72.89058731713462, 89.86390724490741]",58640.0,-2930.0
0,"[152.65214377993132, 145.480433198249, 147.35384614986882]","[113.12274178004397, 300.87606197520415, 179.52571389008415]",58690.0,-2490.0
0,"[145.68536576573143, 175.18490427816556, 164.4808183426253]","[320.62041272436267, 89.17825207816836, 174.22195668370753]",58850.0,-2990.0
0,"[143.50053218416417, 150.05601312123366, 157.75083301946057]","[210.93723550044163, 115.75675273990129, 94.7495545268225]",59600.0,-2900.0
0,"[143.73343191597033, 158.64583427405347, 154.48496160196598]","[106.87175374206535, 222.46747811902395, 77.18092642375102]",60800.0,-3120.0
0,"[134.39112802044278, 152.3658761578909, 144.10783874020842]","[161.2259929349607, 36.572536124480635, 87.44767340603977]",62750.0,-2310.0
0,"[155.92646527145786, 143.44033079037308, 153.43998464277115]","[178.69183099556216, 286.3810034063181, 136.6467786431849]",64290.0,-2850.0
0,"[165.2983072597807, 149.95915033525904, 118.69292287407586]","[248.59477512644412, 99.71084933093177, 287.169295019358]",64840.0,-2960.0
0,"[147.99431526757124, 150.77044505923448, 130.74278855648637]","[311.6965055366223, 287.5954257580917, 95.76205188843836]",65140.0,-2220.0
0,"[155.90228760317967, 155.90865632302564, 132.5791159543307]","[290.0575992575739, 183.08802858469255, 307.86263215101735]",65480.0,-2910.0
0,"[148.4500482775987, 159.96210951919895, 141.86354248125198]","[291.707969586168, 205.7388085098716, 335.38729138897367]",70270.0,-3190.0
0,"[158.23437760074006, 165.34461945278105, 126.07608710918981]","[300.3151564083018, 174.3315619893391, 293.12311752831704]",70410.0,-3740.0
0,"[127.1265846019836, 156.03298041392728, 145.63246875666684]","[258.7443970479354, 316.3881537463419, 151.07801856134648]",72230.0,-2360.0
0,"[165.94388789069825, 147.57046034155394, 121.74266507410125]","[49.09015806541873, 284.48386951368497, 218.11453536717212]",74270.0,-2860.0
0,"[157.19696808414847, 153.76628493037646, 131.80310377767663]","[170.39906382579338, 245.11133901177828, 276.7509133780729]",74530.0,-3020.0
0,"[163.68588444814884, 147.54824298113962, 150.61224273311743]","[53.695111218863204, 179.06707397276455, 247.95832380165274]",80880.0,-3930.0
0,"[163.3545269287606, 151.8552031268523, 123.29468942740937]","[288.4072289289798, 160.43724865951353, 280.33797291306104]",80950.0,-3930.0
0,"[135.80324717340417, 161.27652057867653, 136.2834277510021]","[262.4857580343306, 357.50381613102866, 286.4142323336511]",80980.0,-3440.0
0,"[148.61556408950182, 154.40127309970092, 157.88262407156788]","[160.39291120331916, 215.57704728143636, 282.10817228489225]",80990.0,-3420.0
0,"[162.17819009985595, 163.67650822772111, 126.66207550079463]","[80.7385584246322, 310.40505777753447, 136.83408191427952]",81170.0,-5100.0
0,"[161.4258634957212, 143.27233415378882, 139.07361362363423]","[265.6763525357989, 144.41262792009815, 221.95381474923025]",81360.0,-3460.0
0,"[138.2924388438962, 143.71073616891974, 162.34895276688303]","[239.06993537098535, 31.926175069499337, 135.8257257694882]",81500.0,-3300.0
