Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
0,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
0,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
0,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
0,"[20.002779012452603, 24.633394083205502, 31.54997075821701]","[67.03322508352488, 337.0621687105883, 29.238212822666988]",43230.0,-9930.0
0,"[69.64624691735246, 34.38808173457292, 40.18445965202865]","[96.77375899825566, 268.8221313171441, 251.19624894584422]",50140.0,-4500.0
0,"[66.73060095956737, 62.23619794374706, 52.22114766012457]","[81.46911825596672, 227.07426504962075, 245.71843062328287]",50860.0,-3270.0
0,"[81.54341706244128, 31.559057680658242, 84.28267967178161]","[252.6615125359247, 294.6484573127052, 249.52328124075427]",50950.0,-4010.0
0,"[81.54341706244128, 31.559057680658242, 84.28267967178161]","[252.6615125359247, 294.6484573127052, 249.52328124075427]",50950.0,-4010.0
0,"[60.84233360336478, 21.16222186058709, 53.760298399606725]","[105.78097601949564, 249.97873663425332, 137.59515104289144]",52410.0,-6770.0
1,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
1,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
1,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
1,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
1,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
1,"[20.002779012452603, 24.633394083205502, 31.54997075821701]","[67.03322508352488, 337.0621687105883, 29.238212822666988]",43230.0,-9930.0
1,"[69.64624691735246, 34.38808173457292, 40.18445965202865]","[96.77375899825566, 268.8221313171441, 251.19624894584422]",50140.0,-4500.0
1,"[66.73060095956737, 62.23619794374706, 52.22114766012457]","[81.46911825596672, 227.07426504962075, 245.71843062328287]",50860.0,-3270.0
1,"[81.54341706244128, 31.559057680658242, 84.28267967178161]","[252.6615125359247, 294.6484573127052, 249.52328124075427]",50950.0,-4010.0
1,"[81.54341706244128, 31.559057680658242, 84.28267967178161]","[252.6615125359247, 294.6484573127052, 249.52328124075427]",50950.0,-4010.0
2,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
2,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
2,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
2,"[49.47123313325114, 32.036299798588914, 33.168218657467705]","[220.2283707026984, 241.2733722119978, 210.96768606931298]",39460.0,-5270.0
2,"[41.843257548817064, 76.71969580846772, 48.25586575088964]","[236.72224830561456, 228.200813266559, 215.8829191464926]",41150.0,-3730.0
2,"[51.74532753178729, 58.56581722328413, 44.92579543553967]","[258.6725104752038, 275.119456655379, 259.8382084781673]",42460.0,-3810.0
2,"[51.74532753178729, 58.56581722328413, 44.92579543553967]","[258.6725104752038, 275.119456655379, 259.8382084781673]",42460.0,-3810.0
2,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
2,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
2,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
3,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
3,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
3,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
3,"[49.47123313325114, 32.036299798588914, 33.168218657467705]","[220.2283707026984, 241.2733722119978, 210.96768606931298]",39460.0,-5270.0
3,"[41.843257548817064, 76.71969580846772, 48.25586575088964]","[236.72224830561456, 228.200813266559, 215.8829191464926]",41150.0,-3730.0
3,"[51.74532753178729, 58.56581722328413, 44.92579543553967]","[258.6725104752038, 275.119456655379, 259.8382084781673]",42460.0,-3810.0
3,"[51.74532753178729, 58.56581722328413, 44.92579543553967]","[258.6725104752038, 275.119456655379, 259.8382084781673]",42460.0,-3810.0
3,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
3,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
3,"[82.14208437423841, 20.88800321293532, 61.41890402934992]","[118.1488482429964, 294.82729229746536, 317.55588511500235]",43040.0,-6750.0
4,"[39.57749383279586, 33.36759841694801, 30.116469306978928]","[261.36977142907165, 237.99398620878387, 255.23631637030047]",39090.0,-5600.0
4,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
4,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
4,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
4,"[39.891291232386266, 34.33860422134941, 30.116469306978928]","[261.7687606415885, 236.1115832629252, 255.23631637030047]",39220.0,-5490.0
4,"[49.47123313325114, 32.036299798588914, 33.168218657467705]","[220.2283707026984, 241.2733722119978, 210.96768606931298]",39460.0,-5270.0
4,"[44.5243634830235, 33.187452009969164, 31.642343982223316]","[240.79907106588502, 238.6924777374615, 233.1020012198067]",39480.0,-5250.0
4,"[50.99624843917293, 42.307380509447555, 28.526001511524555]","[255.77672962614946, 253.35234727059796, 233.74474033651433]",41110.0,-5110.0
4,"[41.843257548817064, 76.71969580846772, 48.25586575088964]","[236.72224830561456, 228.200813266559, 215.8829191464926]",41150.0,-3730.0
4,"[51.74532753178729, 58.56581722328413, 44.92579543553967]","[258.6725104752038, 275.119456655379, 259.8382084781673]",42460.0,-3810.0
5,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
