Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
"[20.0, 63.320415624586005, 20.0]","[315.0412763581536, 260.87935428378967, 12.137313123057911]",52630.0,-10940.0
"[20.0, 63.32001807437322, 20.0]","[315.0412763581536, 260.8794619199058, 12.137258194597507]",52630.0,-10940.0
"[20.0, 63.320609708073164, 20.0]","[315.0412763581536, 260.87930173598033, 12.137267566689703]",52630.0,-10940.0
"[20.0, 63.32078445600118, 20.0]","[315.0412763581536, 260.87925442324433, 12.137286587811747]",52630.0,-10940.0
"[20.0, 63.32080900594107, 20.0]","[315.0412763581536, 260.87924777638534, 12.137303371006546]",52630.0,-10940.0
"[20.0, 63.320160318445495, 20.0]","[315.0412763581536, 260.8794234075393, 12.137296562647997]",52630.0,-10940.0
"[20.0, 63.32101402109958, 20.0]","[315.0412763581536, 260.87919226884264, 12.137309947869003]",52630.0,-10940.0
"[20.0, 63.320613413724466, 20.0]","[315.0412763581536, 260.87930073268086, 12.137285377596951]",52630.0,-10940.0
"[20.0, 63.3208104882016, 20.0]","[315.0412763581536, 260.8792473750656, 12.1372919564968]",52630.0,-10940.0
"[20.0, 63.32058215390881, 20.0]","[315.0412763581536, 260.87930919622846, 12.137272944579909]",52630.0,-10940.0
"[20.0, 63.32001541424496, 20.0]","[315.0412763581536, 260.87946264013146, 12.137306137349956]",52630.0,-10940.0
"[20.0, 63.321189073420385, 20.0]","[315.0412763581536, 260.8791448736928, 12.13730228293279]",52630.0,-10940.0
"[20.0, 63.32009671358773, 20.0]","[315.0412763581536, 260.8794406284579, 12.13729796938295]",52630.0,-10940.0
"[20.0, 63.32057258538775, 20.0]","[315.0412763581536, 260.879311786891, 12.137300087399257]",52630.0,-10940.0
"[20.0, 63.320454123656184, 20.0]","[315.0412763581536, 260.8793438602249, 12.137291034654913]",52630.0,-10940.0
"[20.0, 63.32039872416916, 20.0]","[315.0412763581536, 260.87935885955187, 12.137305979931739]",52630.0,-10940.0
"[20.0, 63.320818203897, 20.0]","[315.0412763581536, 260.87924528605276, 12.137330881605848]",52630.0,-10940.0
"[20.0, 63.32012490300659, 20.0]","[315.0412763581536, 260.8794329962156, 12.137281468006165]",52630.0,-10940.0
"[20.0, 63.32017606746355, 20.0]","[315.0412763581536, 260.87941914351666, 12.137284335673979]",52630.0,-10940.0
"[20.0, 63.32000703682612, 20.0]","[315.0412763581536, 260.87946490830495, 12.137282434279161]",52630.0,-10940.0
"[20.0, 63.31977227058142, 20.0]","[315.0412763581536, 260.879528470909, 12.137269721776645]",52630.0,-10940.0
"[20.0, 63.32103834605351, 20.0]","[315.0412763581536, 260.8791856828983, 12.137286595371016]",52630.0,-10940.0
"[20.0, 63.3199246522569, 20.0]","[315.0412763581536, 260.8794872138019, 12.1373005171864]",52630.0,-10940.0
"[20.0, 63.321333673228125, 20.0]","[315.0412763581536, 260.8791057235145, 12.137294857545882]",52630.0,-10940.0
"[20.0, 63.3198030936596, 20.0]","[315.0412763581536, 260.8795201256074, 12.137291165343111]",52630.0,-10940.0
