Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
"[161.23439745778293, 162.92812180916482, 162.96117647342675]","[52.87066040859388, 60.0122882501217, 58.463237870790536]",19620.0,-6870.0
"[160.63588952807808, 162.92812180916482, 162.96117647342675]","[53.0323783425251, 60.0122882501217, 58.463237870790536]",19650.0,-6840.0
"[160.63588952807808, 162.92812180916482, 162.96117647342675]","[53.0323783425251, 60.0122882501217, 58.463237870790536]",19650.0,-6840.0
"[160.63588952807808, 162.92812180916482, 162.96117647342675]","[53.0323783425251, 60.0122882501217, 58.463237870790536]",19650.0,-6840.0
"[160.63588952807808, 162.92812180916482, 162.96117647342675]","[53.0323783425251, 60.0122882501217, 58.463237870790536]",19650.0,-6840.0
"[160.9532948339144, 162.2934328721987, 163.523819424633]","[50.7978007074615, 59.7380168292705, 57.08423700633356]",19700.0,-6930.0
"[160.3203567608456, 162.9095607794663, 162.96117647342675]","[52.64705607567052, 59.00406829640002, 58.463237870790536]",20640.0,-7310.0
"[160.3203567608456, 162.92215479778258, 162.96117647342675]","[52.64705607567052, 59.00583928812538, 58.463237870790536]",20640.0,-7310.0
"[160.3203567608456, 162.9725308710478, 162.96117647342675]","[52.64705607567052, 59.0129232550268, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9725308710478, 162.96117647342675]","[52.64705607567052, 59.0129232550268, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9725308710478, 162.96117647342675]","[52.64705607567052, 59.0129232550268, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9725308710478, 162.96117647342675]","[52.64705607567052, 59.0129232550268, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9725308710478, 162.96117647342675]","[52.64705607567052, 59.0129232550268, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.9473428344152, 162.96117647342675]","[52.64705607567052, 59.00938127157609, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 162.84659068788477, 162.96117647342675]","[52.64705607567052, 58.99521333777325, 58.463237870790536]",20660.0,-7290.0
"[160.3203567608456, 163.0103129259967, 162.96117647342675]","[52.64705607567052, 59.01823623020286, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 163.0103129259967, 162.96117647342675]","[52.64705607567052, 59.01823623020286, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 163.0103129259967, 162.96117647342675]","[52.64705607567052, 59.01823623020286, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.9977189076804, 162.96117647342675]","[52.64705607567052, 59.01646523847751, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.8768244435571, 162.96117647342675]","[52.64705607567052, 59.725110516474444, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.8768244435571, 162.96117647342675]","[52.64705607567052, 59.725110516474444, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.8768244435571, 162.96117647342675]","[52.64705607567052, 59.725110516474444, 58.463237870790536]",20680.0,-7270.0
"[160.3203567608456, 162.78779202014323, 162.96117647342675]","[52.64705607567052, 59.79671049652555, 58.463237870790536]",20690.0,-7260.0
"[160.3203567608456, 163.022906944313, 162.96117647342675]","[52.64705607567052, 59.02000722192822, 58.463237870790536]",20700.0,-7250.0
