Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
"[173.19822870941812, 175.77012897060183, 167.70522146570113]","[71.49174110448347, 344.82042474458376, 11.810916295749994]",7770.0,-520.0
"[172.97246219753558, 175.75556752954364, 167.70522146570113]","[71.71918851033934, 345.1331876464411, 11.810916295749994]",7770.0,-520.0
"[172.96354023103777, 175.75920273509016, 167.70522146570113]","[71.74501587417879, 345.13267099833166, 11.810916295749994]",7770.0,-520.0
"[173.21761023866864, 175.89656473460764, 167.70522146570113]","[71.47143143951162, 344.65347659954676, 11.810916295749994]",7770.0,-520.0
"[172.89930414650013, 175.67948440219263, 167.70522146570113]","[71.7958490722365, 345.34826260850565, 11.810916295749994]",7770.0,-520.0
"[173.0768937930784, 175.72674821590456, 167.70522146570113]","[71.62014240340216, 345.06603983955824, 11.810916295749994]",7770.0,-520.0
"[173.1082888697786, 175.687176794826, 167.70522146570113]","[71.59442158086874, 345.0388431493884, 11.810916295749994]",7770.0,-520.0
"[173.21217531644183, 175.85737664521196, 167.70522146570113]","[71.48362464967187, 344.69861894413754, 11.810916295749994]",7770.0,-520.0
"[173.109695631019, 175.68266137151488, 167.70522146570113]","[71.59788645414207, 345.03476051280734, 11.810916295749994]",7770.0,-520.0
"[173.1673276609007, 175.84256388441887, 167.70522146570113]","[71.50181869899829, 344.7854581539584, 11.810916295749994]",7770.0,-520.0
"[173.2111864206566, 175.94894157348716, 167.70522146570113]","[71.47224618421626, 344.56469135144664, 11.810916295749994]",7770.0,-520.0
"[173.00910309610623, 175.72703283987065, 167.70522146570113]","[71.69078573807289, 345.12047025305924, 11.810916295749994]",7770.0,-520.0
"[173.0935456573253, 175.75192548539175, 167.70522146570113]","[71.59722103491097, 344.9880127849797, 11.810916295749994]",7770.0,-520.0
"[173.21998459815518, 175.76075563597288, 167.70522146570113]","[71.46520509254123, 344.8923904205126, 11.810916295749994]",7770.0,-520.0
"[173.19876702844903, 175.7855659418334, 167.70522146570113]","[71.49610074650589, 344.82761011119305, 11.810916295749994]",7770.0,-520.0
"[172.98865778421188, 175.70095002458032, 167.70522146570113]","[71.70630151213932, 345.18561819582465, 11.810916295749994]",7770.0,-520.0
"[172.98470578496497, 175.74896246341615, 167.70522146570113]","[71.69942973833733, 345.10918767413204, 11.810916295749994]",7770.0,-520.0
"[172.9123201678112, 175.71173052493108, 167.70522146570113]","[71.78203663087254, 345.26087956756055, 11.810916295749994]",7770.0,-520.0
"[173.18925782970112, 175.81305101153595, 167.70522146570113]","[71.47442240332404, 344.76459127177634, 11.810916295749994]",7770.0,-520.0
"[173.11121346211388, 175.73511775901915, 167.70522146570113]","[71.57018201212436, 344.946431782358, 11.810916295749994]",7770.0,-520.0
"[173.15456513194255, 175.81557079303235, 167.70522146570113]","[71.53932464637647, 344.8868637145166, 11.810916295749994]",7770.0,-520.0
"[173.11131852204193, 175.74154467967236, 167.70522146570113]","[71.59507810466766, 344.987920183294, 11.810916295749994]",7770.0,-520.0
"[173.15452825261877, 175.81666813736283, 167.70522146570113]","[71.53624423801185, 344.88622321156674, 11.810916295749994]",7770.0,-520.0
"[173.01865777420429, 175.6678506573354, 167.70522146570113]","[71.66384317737233, 345.18055437766475, 11.810916295749994]",7770.0,-520.0
"[173.16169332623707, 175.8571983670929, 167.70522146570113]","[71.53925819855158, 344.84001446756514, 11.810916295749994]",7770.0,-520.0
"[173.1039764757054, 175.80219469959837, 167.70522146570113]","[71.58751335658775, 344.9496474192571, 11.810916295749994]",7770.0,-520.0
"[173.18772653835953, 175.90929239790455, 167.70522146570113]","[71.47604193241449, 344.61126508294046, 11.810916295749994]",7770.0,-520.0
"[173.0903288798133, 175.71567915513262, 167.70522146570113]","[71.61839888196116, 345.04512490288846, 11.810916295749994]",7770.0,-520.0
"[173.09244533655814, 175.6920048378313, 167.70522146570113]","[71.60015276767321, 345.0268638533909, 11.810916295749994]",7770.0,-520.0
"[173.19324292886864, 175.81802662308164, 167.70522146570113]","[71.497222502261, 344.77035807015034, 11.810916295749994]",7770.0,-520.0
"[173.12492049809083, 175.73609595817274, 167.70522146570113]","[71.56783417442409, 345.0205668701836, 11.810916295749994]",7770.0,-520.0
"[173.16612723438547, 175.76379065046604, 167.70522146570113]","[71.52535124340093, 344.95386852004594, 11.810916295749994]",7770.0,-520.0
"[173.1643947659823, 175.8080799192805, 167.70522146570113]","[71.51477535659646, 344.86805713140114, 11.810916295749994]",7770.0,-520.0
"[173.07764891139126, 175.77985289434957, 167.70522146570113]","[71.62615587550016, 345.0028438300924, 11.810916295749994]",7770.0,-520.0
"[173.19868585827712, 175.80408980767078, 167.70522146570113]","[71.47301746810024, 344.7576209608387, 11.810916295749994]",7770.0,-520.0
"[173.0928662044628, 175.7205230102403, 167.70522146570113]","[71.59823132506202, 345.07262427715784, 11.810916295749994]",7770.0,-520.0
