Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
"[37.616650017170976, 28.141694092189923, 21.03824081788414]","[260.9008878376452, 238.38858090770464, 251.7189441833548]",32980.0,-8750.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
"[37.616650017170976, 30.20257965774648, 21.03824081788414]","[260.9008878376452, 237.59452644525786, 251.7189441833548]",33210.0,-8560.0
